Dwelling,Garage,OffStreet
BUNGALOW,0.6,0.23
FLAT_MAIS,0.09,0.25
HOUSE_TERRACED,0.22,0.27
HOUSE_SEMI,0.49,0.34
HOUSE_DETACHED,0.86,0.13
ANNEXE,0.452,0.244
OTHER,0.452,0.244
