,ONS LA Code,variable,value,year,quarter,PCP
108,E07000139,2020 Q3,401.0,2020,Q3,0.0
109,E07000140,2020 Q3,232.0,2020,Q3,0.0
110,E07000141,2020 Q3,436.0,2020,Q3,0.0
111,E07000142,2020 Q3,316.0,2020,Q3,0.0
112,E07000150,2020 Q3,190.0,2020,Q3,0.0
113,E07000152,2020 Q3,331.0,2020,Q3,0.0
114,E07000153,2020 Q3,1141.0,2020,Q3,0.0
115,E07000155,2020 Q3,1120.0,2020,Q3,0.0
116,E07000156,2020 Q3,234.0,2020,Q3,0.0
117,E10000024,2020 Q3,2550.0,2020,Q3,0.0
118,E07000170,2020 Q3,248.0,2020,Q3,0.0
119,E07000171,2020 Q3,301.0,2020,Q3,0.0
120,E07000172,2020 Q3,348.0,2020,Q3,0.0
121,E07000173,2020 Q3,399.0,2020,Q3,0.0
122,E07000174,2020 Q3,204.0,2020,Q3,0.0
123,E07000175,2020 Q3,438.0,2020,Q3,0.0
124,E07000176,2020 Q3,611.0,2020,Q3,0.0
125,E06000051,2020 Q3,1321.0,2020,Q3,0.0
126,E10000028,2020 Q3,2876.0,2020,Q3,0.0
127,E07000192,2020 Q3,359.0,2020,Q3,0.0
128,E07000195,2020 Q3,318.0,2020,Q3,0.0
129,E07000196,2020 Q3,360.0,2020,Q3,0.0
130,E07000197,2020 Q3,499.0,2020,Q3,0.0
131,E07000218,2020 Q3,231.0,2020,Q3,0.0
132,E07000219,2020 Q3,265.0,2020,Q3,0.0
133,E07000221,2020 Q3,1073.0,2020,Q3,0.0
134,E07000222,2020 Q3,1566.0,2020,Q3,0.0
135,E11000005,2020 Q3,12501.0,2020,Q3,0.0
136,E08000026,2020 Q3,746.0,2020,Q3,0.0
137,E08000027,2020 Q3,711.0,2020,Q3,0.0
138,E08000028,2020 Q3,623.0,2020,Q3,0.0
139,E08000029,2020 Q3,6522.0,2020,Q3,0.0
140,E08000031,2020 Q3,457.0,2020,Q3,0.0
141,E10000034,2020 Q3,2851.0,2020,Q3,0.0
142,E07000234,2020 Q3,631.0,2020,Q3,0.0
143,E07000235,2020 Q3,416.0,2020,Q3,0.0
144,E07000236,2020 Q3,215.0,2020,Q3,0.0
145,E07000238,2020 Q3,735.0,2020,Q3,0.0
146,E07000239,2020 Q3,258.0,2020,Q3,0.0
147,E06000055,2020 Q3,837.0,2020,Q3,0.0
148,E06000032,2020 Q3,508.0,2020,Q3,0.0
149,E06000031,2020 Q3,13729.0,2020,Q3,0.0
150,E06000033,2020 Q3,414.0,2020,Q3,0.0
151,E10000003,2020 Q3,3700.0,2020,Q3,0.0
152,E07000008,2020 Q3,631.0,2020,Q3,0.0
153,E07000009,2020 Q3,439.0,2020,Q3,0.0
154,E07000010,2020 Q3,211.0,2020,Q3,0.0
155,E07000012,2020 Q3,1254.0,2020,Q3,0.0
156,E10000012,2020 Q3,5897.0,2020,Q3,0.0
157,E07000066,2020 Q3,1006.0,2020,Q3,0.0
158,E07000067,2020 Q3,448.0,2020,Q3,0.0
159,E07000068,2020 Q3,429.0,2020,Q3,0.0
160,E07000070,2020 Q3,681.0,2020,Q3,0.0
161,E07000071,2020 Q3,546.0,2020,Q3,0.0
162,E07000072,2020 Q3,921.0,2020,Q3,0.0
163,E07000073,2020 Q3,232.0,2020,Q3,0.0
164,E07000074,2020 Q3,242.0,2020,Q3,0.0
165,E07000075,2020 Q3,310.0,2020,Q3,0.0
166,E07000077,2020 Q3,580.0,2020,Q3,0.0
167,E10000015,2020 Q3,9832.0,2020,Q3,0.0
168,E07000096,2020 Q3,915.0,2020,Q3,0.0
169,E07000242,2020 Q3,899.0,2020,Q3,0.0
170,E07000099,2020 Q3,743.0,2020,Q3,0.0
171,E07000240,2020 Q3,1097.0,2020,Q3,0.0
172,E07000243,2020 Q3,216.0,2020,Q3,0.0
173,E07000102,2020 Q3,680.0,2020,Q3,0.0
174,E07000241,2020 Q3,618.0,2020,Q3,0.0
175,E10000020,2020 Q3,2631.0,2020,Q3,0.0
176,E07000143,2020 Q3,389.0,2020,Q3,0.0
177,E07000145,2020 Q3,135.0,2020,Q3,0.0
178,E07000146,2020 Q3,382.0,2020,Q3,0.0
179,E07000149,2020 Q3,576.0,2020,Q3,0.0
180,E07000200,2020 Q3,351.0,2020,Q3,0.0
181,E07000201,2020 Q3,229.0,2020,Q3,0.0
182,E07000202,2020 Q3,335.0,2020,Q3,0.0
183,E07000204,2020 Q3,419.0,2020,Q3,0.0
184,E07000206,2020 Q3,294.0,2020,Q3,0.0
185,E09000007,2020 Q3,2000.0,2020,Q3,0.0
186,E09000001,2020 Q3,267.0,2020,Q3,0.0
187,E09000012,2020 Q3,959.0,2020,Q3,0.0
188,E09000013,2020 Q3,2169.0,2020,Q3,0.0
189,E09000020,2020 Q3,1785.0,2020,Q3,0.0
190,E09000023,2020 Q3,953.0,2020,Q3,0.0
191,E09000025,2020 Q3,1139.0,2020,Q3,0.0
192,E09000032,2020 Q3,1924.0,2020,Q3,0.0
193,E09000033,2020 Q3,3157.0,2020,Q3,0.0
194,E12000007,2020 Q3,29399.0,2020,Q3,0.0
195,E09000004,2020 Q3,1033.0,2020,Q3,0.0
196,E09000006,2020 Q3,1684.0,2020,Q3,0.0
197,E09000008,2020 Q3,1589.0,2020,Q3,0.0
198,E09000009,2020 Q3,2607.0,2020,Q3,0.0
199,E09000010,2020 Q3,1419.0,2020,Q3,0.0
200,E09000011,2020 Q3,1083.0,2020,Q3,0.0
201,E09000015,2020 Q3,1344.0,2020,Q3,0.0
202,E09000016,2020 Q3,1096.0,2020,Q3,0.0
203,E09000024,2020 Q3,1330.0,2020,Q3,0.0
204,E09000026,2020 Q3,1432.0,2020,Q3,0.0
205,E09000027,2020 Q3,1646.0,2020,Q3,0.0
206,E09000029,2020 Q3,869.0,2020,Q3,0.0
207,E09000031,2020 Q3,902.0,2020,Q3,0.0
208,E12000008,2020 Q3,78012.0,2020,Q3,0.0
209,E06000036,2020 Q3,547.0,2020,Q3,0.0
210,E06000046,2020 Q3,447.0,2020,Q3,0.0
211,E06000044,2020 Q3,3624.0,2020,Q3,0.0
212,E06000038,2020 Q3,582.0,2020,Q3,0.0
213,E06000045,2020 Q3,533.0,2020,Q3,0.0
214,E06000037,2020 Q3,1195.0,2020,Q3,0.0
215,E06000040,2020 Q3,1069.0,2020,Q3,0.0
216,E06000041,2020 Q3,1127.0,2020,Q3,0.0
217,E10000002,2020 Q3,4562.0,2020,Q3,0.0
218,E07000004,2020 Q3,1201.0,2020,Q3,0.0
219,E07000006,2020 Q3,715.0,2020,Q3,0.0
220,E07000061,2020 Q3,245.0,2020,Q3,0.0
221,E07000062,2020 Q3,167.0,2020,Q3,0.0
222,E07000063,2020 Q3,477.0,2020,Q3,0.0
223,E07000065,2020 Q3,921.0,2020,Q3,0.0
224,E10000014,2020 Q3,8572.0,2020,Q3,0.0
225,E07000084,2020 Q3,819.0,2020,Q3,0.0
226,E07000086,2020 Q3,571.0,2020,Q3,0.0
227,E07000087,2020 Q3,508.0,2020,Q3,0.0
228,E07000089,2020 Q3,581.0,2020,Q3,0.0
229,E07000090,2020 Q3,414.0,2020,Q3,0.0
230,E07000091,2020 Q3,890.0,2020,Q3,0.0
231,E07000092,2020 Q3,2184.0,2020,Q3,0.0
232,E07000093,2020 Q3,647.0,2020,Q3,0.0
233,E07000094,2020 Q3,999.0,2020,Q3,0.0
234,E10000016,2020 Q3,6123.0,2020,Q3,0.0
235,E07000108,2020 Q3,294.0,2020,Q3,0.0
236,E07000109,2020 Q3,330.0,2020,Q3,0.0
237,E07000111,2020 Q3,857.0,2020,Q3,0.0
238,E07000112,2020 Q3,296.0,2020,Q3,0.0
239,E07000113,2020 Q3,379.0,2020,Q3,0.0
240,E07000114,2020 Q3,321.0,2020,Q3,0.0
241,E07000115,2020 Q3,728.0,2020,Q3,0.0
242,E07000116,2020 Q3,672.0,2020,Q3,0.0
243,E07000179,2020 Q3,1107.0,2020,Q3,0.0
244,E07000180,2020 Q3,845.0,2020,Q3,0.0
245,E10000030,2020 Q3,9122.0,2020,Q3,0.0
246,E07000207,2020 Q3,1528.0,2020,Q3,0.0
247,E07000210,2020 Q3,1211.0,2020,Q3,0.0
248,E07000211,2020 Q3,1083.0,2020,Q3,0.0
249,E07000212,2020 Q3,497.0,2020,Q3,0.0
250,E07000214,2020 Q3,554.0,2020,Q3,0.0
251,E07000215,2020 Q3,556.0,2020,Q3,0.0
252,E10000032,2020 Q3,3747.0,2020,Q3,0.0
253,E07000224,2020 Q3,460.0,2020,Q3,0.0
254,E07000225,2020 Q3,712.0,2020,Q3,0.0
255,E07000227,2020 Q3,887.0,2020,Q3,0.0
256,E07000229,2020 Q3,284.0,2020,Q3,0.0
257,E12000009,2020 Q3,44079.0,2020,Q3,0.0
258,E06000023,2020 Q3,1641.0,2020,Q3,0.0
259,E06000026,2020 Q3,351.0,2020,Q3,0.0
260,E06000025,2020 Q3,4938.0,2020,Q3,0.0
261,E06000030,2020 Q3,10888.0,2020,Q3,0.0
262,E06000054,2020 Q3,2520.0,2020,Q3,0.0
263,E10000008,2020 Q3,3571.0,2020,Q3,0.0
264,E07000040,2020 Q3,613.0,2020,Q3,0.0
265,E07000044,2020 Q3,421.0,2020,Q3,0.0
266,E07000046,2020 Q3,221.0,2020,Q3,0.0
267,E07000047,2020 Q3,178.0,2020,Q3,0.0
268,E07000049,2020 Q3,530.0,2020,Q3,0.0
269,E07000051,2020 Q3,209.0,2020,Q3,0.0
270,E07000052,2020 Q3,552.0,2020,Q3,0.0
271,E07000053,2020 Q3,152.0,2020,Q3,0.0
272,E07000080,2020 Q3,7663.0,2020,Q3,0.0
273,E07000081,2020 Q3,461.0,2020,Q3,0.0
274,E10000027,2020 Q3,2011.0,2020,Q3,0.0
275,E07000187,2020 Q3,546.0,2020,Q3,0.0
276,E07000188,2020 Q3,364.0,2020,Q3,0.0
277,E07000189,2020 Q3,603.0,2020,Q3,0.0
278,E07000191,2020 Q3,107.0,2020,Q3,0.0
279,W06000005,2020 Q3,315.0,2020,Q3,0.0
280,W06000006,2020 Q3,234.0,2020,Q3,0.0
281,W06000023,2020 Q3,403.0,2020,Q3,0.0
282,W06000008,2020 Q3,167.0,2020,Q3,0.0
283,W06000009,2020 Q3,308.0,2020,Q3,0.0
284,W06000012,2020 Q3,159.0,2020,Q3,0.0
285,W06000015,2020 Q3,822.0,2020,Q3,0.0
286,W06000016,2020 Q3,301.0,2020,Q3,0.0
287,W06000024,2020 Q3,53.0,2020,Q3,0.0
288,W06000018,2020 Q3,238.0,2020,Q3,0.0
289,W06000019,2020 Q3,60.0,2020,Q3,0.0
